eval/mean_quat_reward,train/n_updates,eval/mean_bonus_reward,train/ent_coef,train/critic_loss,eval/success_rate,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward,eval/mean_pos_reward,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/fps
41.157881771539266,874899,0.31,0.002875274047255516,0.0414801649749279,0.01,875000,0.0003,-0.227036714553833,-65.90677642822266,50.0,30.786857414694968,40.79432996770437,,,,,,
,,,,,,875000,,,,,,,13651,17500,30.557094000000003,50.0,0.0,64
42.15303805665169,899899,0.01,0.002892859047278762,0.043651457875967026,0.0,900000,0.0003,-1.7628780603408813,-65.84799194335938,50.0,31.68465360429138,42.307038220410774,,,,,,
,,,,,,900000,,,,,,,14039,18000,30.698102369999997,50.0,0.0,64
41.197670400865874,924899,0.05,0.0028319486882537603,0.030365344136953354,0.0,925000,0.0003,-0.9639267921447754,-66.075927734375,50.0,30.599356084503235,40.48590646924905,,,,,,
,,,,,,925000,,,,,,,14436,18500,30.184963080000003,50.0,0.01,64
40.40441512531489,949899,0.36,0.0028777194675058126,0.036471545696258545,0.02,950000,0.0003,-2.2862014770507812,-66.29979705810547,50.0,30.41138317450881,40.445722179521404,,,,,,
,,,,,,950000,,,,,,,14835,19000,31.04405076,50.0,0.0,64
41.26195271265449,974899,0.06,0.002768764039501548,0.052800096571445465,0.0,975000,0.0003,1.309614658355713,-66.03646087646484,50.0,30.834606303256006,40.97199100647767,,,,,,
,,,,,,975000,,,,,,,15217,19500,30.883653759999998,50.0,0.01,64
41.116171162393194,999899,0.02,0.002775806002318859,0.04274827241897583,0.0,1000000,0.0003,2.899287223815918,-65.80449676513672,50.0,30.542544657494872,40.43140837016307,,,,,,
,,,,,,1000000,,,,,,,15605,20000,30.613882039999993,50.0,0.0,64
41.10153294921843,1024899,0.03,0.00264051859267056,0.04058819264173508,0.01,1025000,0.0003,2.7770848274230957,-66.47854614257812,50.0,30.9016054007411,41.256860254329474,,,,,,
,,,,,,1025000,,,,,,,16005,20500,31.00006978,50.0,0.0,64
41.18912843089729,1049899,0.02,0.0024489874485880136,0.03800996392965317,0.0,1050000,0.0003,0.6703521609306335,-66.92774963378906,50.0,30.979178326278927,41.37731587036224,,,,,,
,,,,,,1050000,,,,,,,16405,21000,30.158806160000005,50.0,0.01,64
42.439972937093465,1074899,0.11,0.0024157364387065172,0.03680966794490814,0.0,1075000,0.0003,-1.5897386074066162,-66.80277252197266,50.0,31.52526835411787,41.68063270255982,,,,,,
