eval/mean_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_pos_reward,train/n_updates,eval/mean_quat_reward,train/actor_loss,train/ent_coef_loss,eval/mean_bonus_reward,train/learning_rate,train/critic_loss,train/ent_coef,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/episodes,rollout/ep_len_mean
,,2050000,,,,,,,,,,,64,31.3587979,0.01,31766,41000,50.0
31.822625337578355,50.0,2075000,40.05996979057806,2074899,44.11745091491059,-68.85010528564453,2.262113094329834,0.01,0.0003,0.028918679803609848,0.0018590465188026428,0.0,,,,,,
,,2075000,,,,,,,,,,,64,31.187018509999998,0.0,32143,41500,50.0
31.16002711482346,50.0,2100000,39.154760214083694,2099899,43.11237616032903,-68.66346740722656,-1.6221022605895996,0.25,0.0003,0.025951877236366272,0.001865774393081665,0.01,,,,,,
,,2100000,,,,,,,,,,,64,31.447186579999997,0.0,32520,42000,50.0
31.948132104873658,50.0,2125000,40.42561138240605,2124899,44.14886522087383,-69.12495422363281,-3.344038724899292,0.0,0.0003,0.023165956139564514,0.0018551279790699482,0.0,,,,,,
,,2125000,,,,,,,,,,,64,31.180063110000003,0.0,32901,42500,50.0
31.270122275054455,50.0,2150000,39.518656936319005,2149899,43.15552452207796,-68.9599609375,1.082988977432251,0.16,0.0003,0.01893417164683342,0.0018562907353043556,0.01,,,,,,
,,2150000,,,,,,,,,,,64,30.931494669999992,0.0,33288,43000,50.0
30.767922105235048,50.0,2175000,38.60847731457281,2174899,42.73776674956642,-69.1014404296875,-1.0217537879943848,0.02,0.0003,0.024066261947155,0.0018306663259863853,0.0,,,,,,
,,2175000,,,,,,,,,,,64,31.49384024,0.0,33668,43500,50.0
31.334326311508192,50.0,2200000,39.43163779035934,2199899,43.41014742467843,-69.03593444824219,0.6000852584838867,0.08,0.0003,0.02067987620830536,0.001851879060268402,0.01,,,,,,
,,2200000,,,,,,,,,,,64,31.901537069999996,0.0,34045,44000,50.0
32.17198714748025,50.0,2225000,40.17339588354357,2224899,44.4978307222751,-69.03144836425781,0.9358514547348022,0.6,0.0003,0.022216323763132095,0.0017895862692967057,0.02,,,,,,
,,2225000,,,,,,,,,,,64,31.415571430000004,0.02,34419,44500,50.0
31.799054857045412,50.0,2250000,40.60581174948376,2249899,43.65654554854464,-69.018310546875,0.9619467854499817,0.04,0.0003,0.0225693266838789,0.0018157496815547347,0.0,,,,,,
,,2250000,,,,,,,,,,,64,31.731610709999995,0.01,34786,45000,50.0
31.019070061296226,50.0,2275000,38.769841172515655,2274899,43.202273587677176,-69.0994644165039,-0.24655938148498535,0.01,0.0003,0.017299946397542953,0.0017422903329133987,0.0,,,,,,
,,2275000,,,,,,,,,,,64,31.59861294,0.0,35172,45500,50.0
32.084414872154596,50.0,2300000,40.30723216728912,2299899,44.413496758775715,-69.01439666748047,1.6102986335754395,0.22999999999999998,0.0003,0.022985927760601044,0.0017947879387065768,0.0,,,,,,
,,2300000,,,,,,,,,,,64,31.435950340000005,0.0,35561,46000,50.0
31.80894637038931,50.0,2325000,40.60150348352135,2324899,43.70508924039519,-69.09992218017578,2.248645782470703,0.0,0.0003,0.027237053960561752,0.0018248418346047401,0.0,,,,,,
,,2325000,,,,,,,,,,,64,31.677390240000005,0.0,35940,46500,50.0
31.408753740340472,50.0,2350000,40.0323140589808,2349899,43.002641337479474,-69.25202941894531,-0.613848865032196,0.33999999999999997,0.0003,0.0278011541813612,0.0017787705874070525,0.01,,,,,,
,,2350000,,,,,,,,,,,64,31.39520802,0.0,36313,47000,50.0
32.448387391343715,50.0,2375000,40.89342810734454,2374899,44.929579709718595,-68.85655212402344,0.20476579666137695,0.05,0.0003,0.01740243285894394,0.0017701552715152502,0.0,,,,,,
,,2375000,,,,,,,,,,,64,31.657053500000004,0.0,36698,47500,50.0
31.749688050970434,50.0,2400000,40.139335976840684,2399899,43.88833272579619,-69.14396667480469,-3.4780025482177734,0.02,0.0003,0.018008150160312653,0.0017470789607614279,0.0,,,,,,
,,2400000,,,,,,,,,,,64,31.59906861999999,0.01,37073,48000,50.0
31.926442512273788,50.0,2425000,40.437284144111224,2424899,43.988094254637986,-69.00552368164062,-1.5636472702026367,0.18,0.0003,0.021574310958385468,0.001746180234476924,0.01,,,,,,
,,2425000,,,,,,,,,,,64,31.598302339999996,0.0,37443,48500,50.0
31.003074806667865,50.0,2450000,40.237352835900786,2449899,42.10606186906385,-68.92477416992188,3.8540024757385254,0.03,0.0003,0.02257426828145981,0.0017292065313085914,0.0,,,,,,
,,2450000,,,,,,,,,,,64,31.652326260000006,0.0,37829,49000,50.0
31.548387748764362,50.0,2475000,39.77419096847112,2474899,43.551892732310954,-69.14312744140625,1.2464399337768555,0.26,0.0003,0.026734093204140663,0.0017458222573623061,0.0,,,,,,
,,2475000,,,,,,,,,,,64,31.37347405,0.0,38213,49500,50.0
31.212539465816224,50.0,2500000,38.93027090548111,2499899,43.51275386782001,-69.15950012207031,-4.80708646774292,0.04,0.0003,0.016673818230628967,0.0017570825293660164,0.0,,,,,,
,,2500000,,,,,,,,,,,64,31.98442202,0.0,38594,50000,50.0
31.751255405656995,50.0,2525000,40.55260893422883,2524899,43.52243456320268,-69.28091430664062,-0.20864927768707275,0.15,0.0003,0.01852390170097351,0.0017841348890215158,0.01,,,,,,
,,2525000,,,,,,,,,,,64,31.583317960000002,0.0,38971,50500,50.0
