train/ent_coef_loss,eval/mean_ep_length,eval/mean_quat_reward,train/ent_coef,train/n_updates,eval/mean_bonus_reward,eval/mean_reward,train/learning_rate,eval/mean_pos_reward,train/critic_loss,eval/success_rate,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate
,,,,,,,,,,,425000,,34.087174270000006,10472,40,8500,50.0,0.0
-1.6949129104614258,50.0,44.16562583402178,0.0015873563243076205,449899,1.71,34.743246948719026,0.0003,46.54868099770066,0.006461844779551029,0.04,450000,-69.43577575683594,,,,,,
,,,,,,,,,,,450000,,34.20424054,11087,40,9000,50.0,0.0
-1.2881839275360107,50.0,44.39020647820289,0.0015613270225003362,474899,0.47000000000000003,34.31660175219178,0.0003,46.20310027217373,0.005243420600891113,0.01,475000,-69.46919250488281,,,,,,
,,,,,,,,,,,475000,,33.878523820000005,11701,40,9500,50.0,0.0
2.6029579639434814,50.0,44.8300707869137,0.0016388521762564778,499899,0.15,34.523236412703994,0.0003,46.55643744781225,0.01064475066959858,0.0,500000,-69.72343444824219,,,,,,
,,,,,,,,,,,500000,,34.05381637000001,12317,40,10000,50.0,0.0
1.43923020362854,50.0,45.178594464505224,0.0016112213488668203,524899,0.03,34.5168298304081,0.0003,46.429362463991644,0.005820075515657663,0.0,525000,-69.71026611328125,,,,,,
,,,,,,,,,,,525000,,34.222252569999995,12931,40,10500,50.0,0.0
1.655698299407959,50.0,44.37668011971765,0.0015052073867991567,549899,0.02,34.18686368241906,0.0003,46.175387239996745,0.006570749916136265,0.0,550000,-69.93682861328125,,,,,,
,,,,,,,,,,,550000,,34.083692070000005,13548,40,11000,50.0,0.0
-0.3155522346496582,50.0,44.38960567031654,0.001476836740039289,574899,0.42,34.57851765677333,0.0003,46.752232483170175,0.004473682027310133,0.01,575000,-70.0311050415039,,,,,,
,,,,,,,,,,,575000,,34.32269728,14165,40,11500,50.0,0.0
2.0463781356811523,50.0,44.321402798268736,0.0014331286074593663,599899,1.21,34.629248460233214,0.0003,46.492795554207305,0.004549622535705566,0.03,600000,-70.08340454101562,,,,,,
,,,,,,,,,,,600000,,34.28037207,14778,40,12000,50.0,0.0
-0.5796804428100586,50.0,45.114938990100214,0.0014273145934566855,624899,0.37,34.67355048760772,0.0003,46.604631484101866,0.004503557924181223,0.01,625000,-70.16567993164062,,,,,,
,,,,,,,,,,,625000,,34.41681518,15394,40,12500,50.0,0.0
