train/n_updates,train/learning_rate,train/ent_coef,eval/mean_reward,time/total_timesteps,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,train/actor_loss,eval/success_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
,,,,1850000,,,,,,89,37000,50.0,0.9100000262260437,20661,59.03482796
1874899,0.0003,0.01031438447535038,59.98059952098876,1875000,0.37902331352233887,0.5176839828491211,50.0,-97.71916961669922,0.99,,,,,,
,,,,1875000,,,,,,89,37500,50.0,0.9300000071525574,20941,57.94340192000001
1899899,0.0003,0.010226506739854813,60.56445182267111,1900000,0.1229594349861145,0.4244542121887207,50.0,-99.98460388183594,1.0,,,,,,
,,,,1900000,,,,,,89,38000,50.0,0.949999988079071,21218,58.97491980999999
1924899,0.0003,0.009898140095174313,61.06190098602325,1925000,0.6010540723800659,0.3881338834762573,50.0,-102.58667755126953,1.0,,,,,,
,,,,1925000,,,,,,89,38500,50.0,0.9599999785423279,21498,58.90768231999999
1949899,0.0003,0.010084463283419609,61.527135102172615,1950000,-0.7858904600143433,0.4153931736946106,50.0,-102.84457397460938,1.0,,,,,,
,,,,1950000,,,,,,89,39000,50.0,0.9700000286102295,21776,59.496524709999996
1974899,0.0003,0.01006984617561102,60.572933771200475,1975000,0.42587214708328247,0.45262011885643005,50.0,-105.05387115478516,0.99,,,,,,
,,,,1975000,,,,,,89,39500,50.0,0.9800000190734863,22050,59.080430189999994
1999899,0.0003,0.009782752953469753,58.74082334722159,2000000,0.3688282072544098,0.37023746967315674,50.0,-106.60066223144531,0.96,,,,,,
,,,,2000000,,,,,,89,40000,50.0,0.9700000286102295,22326,58.16275866
2024899,0.0003,0.009738923981785774,60.6416446083691,2025000,-0.9546567797660828,0.37707239389419556,50.0,-106.53407287597656,0.97,,,,,,
,,,,2025000,,,,,,89,40500,50.0,0.9599999785423279,22603,59.40484426
2049899,0.0003,0.00995465088635683,60.38643568156986,2050000,0.4524998664855957,0.42641252279281616,50.0,-107.85493469238281,0.99,,,,,,
,,,,2050000,,,,,,89,41000,50.0,0.9900000095367432,22882,59.73763731000001
2074899,0.0003,0.009679113514721394,60.85029635380953,2075000,0.7228328585624695,0.4529859721660614,50.0,-107.35443115234375,0.99,,,,,,
,,,,2075000,,,,,,89,41500,50.0,0.9700000286102295,23161,59.159100859999995
2099899,0.0003,0.009821060113608837,60.568956402330656,2100000,1.0426766872406006,0.3492765426635742,50.0,-109.02378845214844,0.96,,,,,,
,,,,2100000,,,,,,89,42000,50.0,0.9200000166893005,23438,59.523815430000006
2124899,0.0003,0.009526190347969532,59.96124113910832,2125000,1.3670830726623535,0.44952088594436646,50.0,-108.70268249511719,0.94,,,,,,
,,,,2125000,,,,,,89,42500,50.0,0.9300000071525574,23716,59.40450673
2149899,0.0003,0.009524855762720108,59.07641654039966,2150000,0.8518117666244507,0.3854624032974243,50.0,-109.46006774902344,0.94,,,,,,
,,,,2150000,,,,,,89,43000,50.0,0.9200000166893005,23991,57.70591943
2174899,0.0003,0.00931211281567812,61.18451800869778,2175000,-1.841941475868225,0.44300222396850586,50.0,-111.02932739257812,0.99,,,,,,
,,,,2175000,,,,,,89,43500,50.0,0.9700000286102295,24266,59.65600979999999
2199899,0.0003,0.009367197751998901,61.65068454165943,2200000,-1.7678117752075195,0.369338721036911,50.0,-111.9108657836914,1.0,,,,,,
,,,,2200000,,,,,,89,44000,50.0,0.8999999761581421,24542,56.753516389999994
2224899,0.0003,0.009113720618188381,54.48014426852111,2225000,-1.0339735746383667,0.3144354820251465,50.0,-112.17304229736328,0.79,,,,,,
,,,,2225000,,,,,,89,44500,50.0,0.9800000190734863,24821,60.23579046
2249899,0.0003,0.009042125195264816,61.92647048231214,2250000,0.859663724899292,0.3950897455215454,50.0,-112.33741760253906,0.99,,,,,,
,,,,2250000,,,,,,89,45000,50.0,0.9800000190734863,25095,60.16524307
2274899,0.0003,0.00846926774829626,61.54884406647907,2275000,-0.40356624126434326,0.365401953458786,50.0,-113.27831268310547,1.0,,,,,,
,,,,2275000,,,,,,89,45500,50.0,0.949999988079071,25371,60.17998892999999
2299899,0.0003,0.008224351331591606,57.49962117050309,2300000,-0.3286913335323334,0.2930096685886383,50.0,-114.01380157470703,0.93,,,,,,
,,,,2300000,,,,,,89,46000,50.0,0.949999988079071,25645,59.8205941
2324899,0.0003,0.008361884392797947,60.014467482054606,2325000,-0.900416910648346,0.29172074794769287,50.0,-113.97697448730469,0.99,,,,,,
,,,,2325000,,,,,,89,46500,50.0,0.9399999976158142,25921,59.019471349999996
2349899,0.0003,0.008086306974291801,60.86193526447983,2350000,1.2597482204437256,0.27639898657798767,50.0,-115.97725677490234,1.0,,,,,,
,,,,2350000,,,,,,89,47000,50.0,0.8799999952316284,26196,58.57286148000001
2374899,0.0003,0.008060733787715435,61.254448735377515,2375000,-0.5490741729736328,0.2951292097568512,50.0,-116.03234100341797,0.95,,,,,,
,,,,2375000,,,,,,89,47500,50.0,0.9800000190734863,26472,59.44241782
2399899,0.0003,0.007714676670730114,59.967056593825106,2400000,-0.31460413336753845,0.22991450130939484,50.0,-116.08982849121094,0.93,,,,,,
,,,,2400000,,,,,,89,48000,50.0,0.9399999976158142,26747,60.13319981999999
2424899,0.0003,0.00750215956941247,62.31643212253228,2425000,-0.6300441026687622,0.22077076137065887,50.0,-117.36104583740234,0.99,,,,,,
,,,,2425000,,,,,,89,48500,50.0,0.9700000286102295,27024,61.123061390000004
2449899,0.0003,0.007651757448911667,59.80561123043764,2450000,0.6088041067123413,0.2217901647090912,50.0,-117.49366760253906,0.92,,,,,,
,,,,2450000,,,,,,89,49000,50.0,0.9399999976158142,27301,59.306743180000005
2474899,0.0003,0.007735935505479574,61.63511685112957,2475000,-0.25411099195480347,0.2161867618560791,50.0,-118.16070556640625,0.98,,,,,,
,,,,2475000,,,,,,89,49500,50.0,0.9800000190734863,27577,60.78933554999999
2499899,0.0003,0.00789334811270237,61.55389717075159,2500000,-1.2896735668182373,0.18382889032363892,50.0,-119.01432800292969,0.97,,,,,,
,,,,2500000,,,,,,89,50000,50.0,0.9800000190734863,27856,60.99513133000001
2524899,0.0003,0.008041894994676113,62.321832903600296,2525000,-1.7144302129745483,0.12885311245918274,50.0,-119.1981201171875,0.99,,,,,,
,,,,2525000,,,,,,89,50500,50.0,1.0,28132,61.69559511999998
2549899,0.0003,0.00753992423415184,62.0081443969821,2550000,0.10426424443721771,0.15421035885810852,50.0,-120.02960205078125,0.99,,,,,,
,,,,2550000,,,,,,89,51000,50.0,0.949999988079071,28406,60.02338553
2574899,0.0003,0.0075438255444169044,62.57014823573409,2575000,1.0447568893432617,0.1624557375907898,50.0,-119.93618774414062,0.99,,,,,,
,,,,2575000,,,,,,89,51500,50.0,1.0,28682,61.69023089000001
