train/ent_coef,train/actor_loss,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,eval/mean_pos_reward,eval/success_rate,train/learning_rate,eval/mean_quat_reward,eval/mean_bonus_reward,eval/mean_reward,time/episodes,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean
0.0087190642952919,-85.9582748413086,50.0,2424899,0.14277008175849915,2425000,0.016990860924124718,48.139328680502494,0.92,0.0003,47.49345106236917,34.32,44.523027102351186,,,,,,
,,,,,2425000,,,,,,,,48500,150,50.0,0.73,16116,42.50993643999999
0.008676198311150074,-85.3420639038086,50.0,2449899,-0.6915159225463867,2450000,0.023617060855031013,48.096759938779925,0.86,0.0003,46.96229244105503,31.94,43.773953081965445,,,,,,
,,,,,2450000,,,,,,,,49000,150,50.0,0.76,16282,42.84198813999999
0.008650238625705242,-85.67955017089844,50.0,2474899,-0.09443432092666626,2475000,0.019951757043600082,48.2375695739618,0.91,0.0003,47.42817427082067,34.39,44.57332836180925,,,,,,
,,,,,2475000,,,,,,,,49500,150,50.0,0.8,16447,42.47533531999999
0.008765415288507938,-86.36869812011719,50.0,2499899,-0.5291389226913452,2500000,0.017144259065389633,48.041447241246274,0.92,0.0003,47.36982797594369,33.7,44.28818062081933,,,,,,
,,,,,2500000,,,,,,,,50000,150,50.0,0.76,16613,42.6301429
0.008883040398359299,-86.18218231201172,50.0,2524899,0.5285111665725708,2525000,0.027575664222240448,48.023927301005585,0.83,0.0003,46.967344637511886,30.599999999999998,43.40379981592297,,,,,,
,,,,,2525000,,,,,,,,50500,150,50.0,0.72,16778,42.458019140000005
0.00905073992908001,-86.25918579101562,50.0,2549899,0.4863322079181671,2550000,0.01933852955698967,48.26477284026397,0.82,0.0003,46.73367669979357,29.89,43.28830559998751,,,,,,
,,,,,2550000,,,,,,,,51000,150,50.0,0.69,16946,42.08505763
0.00892578437924385,-86.56262969970703,50.0,2574899,-0.06986427307128906,2575000,0.022707507014274597,48.26971799806208,0.88,0.0003,47.078917242140875,32.25,43.96708830520511,,,,,,
