eval/mean_ep_length,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_reward,time/total_timesteps,train/ent_coef,eval/success_rate,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/success_rate,rollout/ep_len_mean
,,,,,500000,,,,,47.769447989999996,134,3713,10000,0.0,50.0
50.0,524899,0.0003,0.0033317720517516136,47.93767978131771,525000,0.0017226735362783074,0.0,-98.52044677734375,-0.5483136177062988,,,,,,
,,,,,525000,,,,,48.17980668999999,134,3909,10500,0.0,50.0
50.0,549899,0.0003,0.002672775648534298,48.03832277536392,550000,0.0016476649325340986,0.0,-98.3968505859375,0.5680720210075378,,,,,,
,,,,,550000,,,,,47.82313073,133,4110,11000,0.0,50.0
50.0,574899,0.0003,0.005669204518198967,48.465131011605266,575000,0.0016553484601899981,0.0,-98.40684509277344,1.540894865989685,,,,,,
,,,,,575000,,,,,47.616946129999995,133,4300,11500,0.0,50.0
50.0,599899,0.0003,0.002106254454702139,48.10289475679397,600000,0.0016947583062574267,0.0,-98.69586944580078,-0.9511946439743042,,,,,,
,,,,,600000,,,,,48.50640815,133,4492,12000,0.0,50.0
50.0,624899,0.0003,0.006025157868862152,48.13733578205109,625000,0.001605796511285007,0.0,-98.54666137695312,-1.4904263019561768,,,,,,
,,,,,625000,,,,,48.28339226,133,4680,12500,0.0,50.0
50.0,649899,0.0003,0.004633975215256214,48.063096626996995,650000,0.0015217410400509834,0.0,-98.39907836914062,-2.029456377029419,,,,,,
,,,,,650000,,,,,47.95919439,133,4869,13000,0.0,50.0
50.0,674899,0.0003,0.003260113066062331,48.17017845571041,675000,0.0015598185127601027,0.0,-98.38990020751953,-1.0232784748077393,,,,,,
,,,,,675000,,,,,48.25423863000001,133,5053,13500,0.0,50.0
50.0,699899,0.0003,0.002989372005686164,48.23310530602932,700000,0.001528392662294209,0.0,-98.85816192626953,-0.6971560120582581,,,,,,
,,,,,700000,,,,,48.03826728,133,5242,14000,0.0,50.0
50.0,724899,0.0003,0.0027755231130868196,47.99070858418941,725000,0.0014454517513513565,0.0,-98.5762939453125,0.7566894292831421,,,,,,
,,,,,725000,,,,,48.27877219000001,133,5440,14500,0.0,50.0
50.0,749899,0.0003,0.002228472614660859,48.26252654969692,750000,0.0014503467828035355,0.0,-98.59036254882812,1.7388983964920044,,,,,,
,,,,,750000,,,,,48.058769169999984,133,5633,15000,0.0,50.0
50.0,774899,0.0003,0.0027758514042943716,48.440259964466094,775000,0.0014798701740801334,0.0,-98.6114273071289,0.8283914923667908,,,,,,
,,,,,775000,,,,,48.243471119999995,133,5819,15500,0.0,50.0
50.0,799899,0.0003,0.002372895833104849,48.36251672148705,800000,0.0014544149162247777,0.0,-98.80181884765625,3.7402195930480957,,,,,,
,,,,,800000,,,,,48.360304320000004,133,6007,16000,0.0,50.0
50.0,824899,0.0003,0.0023716790601611137,48.20350226402283,825000,0.0014663588954135776,0.0,-98.83416748046875,0.4574546217918396,,,,,,
,,,,,825000,,,,,48.188600519999994,133,6200,16500,0.0,50.0
50.0,849899,0.0003,0.0031342320144176483,48.13412761747837,850000,0.001394000370055437,0.0,-98.78535461425781,0.251944363117218,,,,,,
