time/total_timesteps,train/ent_coef,train/n_updates,eval/mean_reward,train/actor_loss,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,train/critic_loss,eval/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate
1450000,0.008091028779745102,1449899,61.09937313707545,-110.80549621582031,1.3786247968673706,0.0003,50.0,0.44999629259109497,0.54,,,,,,
1450000,,,,,,,,,,29000,50.0,122,11818,60.17386306,0.44999998807907104
1475000,0.007722203154116869,1474899,60.71443692997098,-112.55441284179688,2.31530499458313,0.0003,50.0,0.47446033358573914,0.59,,,,,,
1475000,,,,,,,,,,29500,50.0,122,12018,60.87303512,0.4399999976158142
1500000,0.007775750942528248,1499899,61.233500313002736,-114.40071105957031,0.18069753050804138,0.0003,50.0,0.4096605181694031,0.52,,,,,,
1500000,,,,,,,,,,30000,50.0,122,12219,61.02955277,0.46000000834465027
1525000,0.007899481803178787,1524899,62.9386135558784,-113.986083984375,0.6194655895233154,0.0003,50.0,0.4474659860134125,0.65,,,,,,
1525000,,,,,,,,,,30500,50.0,122,12420,62.06177443000001,0.5400000214576721
1550000,0.0075977155938744545,1549899,62.89348179306835,-115.1035385131836,2.1939635276794434,0.0003,50.0,0.39188894629478455,0.64,,,,,,
1550000,,,,,,,,,,31000,50.0,122,12619,61.3849474,0.5199999809265137
1575000,0.007494837511330843,1574899,63.41263216346502,-115.91253662109375,-0.49954140186309814,0.0003,50.0,0.36657971143722534,0.73,,,,,,
1575000,,,,,,,,,,31500,50.0,122,12820,63.2329412,0.6899999976158142
1600000,0.007449501194059849,1599899,62.06333607912064,-117.06260681152344,-0.6949082612991333,0.0003,50.0,0.32792603969573975,0.62,,,,,,
1600000,,,,,,,,,,32000,50.0,122,13022,62.54354883,0.5400000214576721
1625000,0.007301532197743654,1624899,63.380263413786885,-118.59269714355469,-0.3269890546798706,0.0003,50.0,0.29609987139701843,0.81,,,,,,
1625000,,,,,,,,,,32500,50.0,122,13225,63.519613060000005,0.6800000071525574
1650000,0.007062274497002363,1649899,63.733918402493,-118.93608093261719,2.8942863941192627,0.0003,50.0,0.3256751596927643,0.79,,,,,,
1650000,,,,,,,,,,33000,50.0,122,13427,63.61776339999999,0.6499999761581421
1675000,0.0067068408243358135,1674899,64.8018665444851,-120.36693572998047,1.718169093132019,0.0003,50.0,0.287686288356781,0.76,,,,,,
1675000,,,,,,,,,,33500,50.0,122,13627,61.457843700000005,0.699999988079071
1700000,0.006644998677074909,1699899,63.36015657693147,-120.01011657714844,-1.85111403465271,0.0003,50.0,0.36064210534095764,0.81,,,,,,
1700000,,,,,,,,,,34000,50.0,122,13826,60.615345690000005,0.6299999952316284
1725000,0.006630306597799063,1724899,63.37775815099478,-119.9596939086914,0.9080643057823181,0.0003,50.0,0.39457690715789795,0.73,,,,,,
1725000,,,,,,,,,,34500,50.0,122,14024,62.04112838,0.6600000262260437
1750000,0.006623225286602974,1749899,63.62720147103071,-121.15185546875,-1.4172817468643188,0.0003,50.0,0.27615445852279663,0.85,,,,,,
1750000,,,,,,,,,,35000,50.0,123,14222,62.28985597999999,0.6499999761581421
1775000,0.006312766578048468,1774899,63.978602896928784,-121.31952667236328,0.929505467414856,0.0003,50.0,0.25247788429260254,0.77,,,,,,
1775000,,,,,,,,,,35500,50.0,123,14419,63.129618730000004,0.550000011920929
1800000,0.006174564361572266,1799899,64.71703337103128,-122.220703125,0.8179950714111328,0.0003,50.0,0.2372637391090393,0.84,,,,,,
1800000,,,,,,,,,,36000,50.0,123,14618,63.62979295000001,0.7200000286102295
1825000,0.006074779666960239,1824899,64.64801225930452,-122.80580139160156,-2.6870529651641846,0.0003,50.0,0.19579005241394043,0.8,,,,,,
1825000,,,,,,,,,,36500,50.0,123,14814,64.06204199999999,0.699999988079071
1850000,0.005872512701898813,1849899,64.30130053251982,-121.97367858886719,-1.563899278640747,0.0003,50.0,0.2558670938014984,0.85,,,,,,
1850000,,,,,,,,,,37000,50.0,123,15013,63.11313681000001,0.6899999976158142
1875000,0.00591930840164423,1874899,56.39730086340569,-122.41145324707031,0.42269837856292725,0.0003,50.0,0.2474464476108551,0.79,,,,,,
1875000,,,,,,,,,,37500,50.0,123,15208,62.25165804,0.6700000166893005
1900000,0.005699640139937401,1899899,64.83050670020282,-122.8428726196289,1.172839879989624,0.0003,50.0,0.3190430998802185,0.8,,,,,,
1900000,,,,,,,,,,38000,50.0,123,15405,62.16576846,0.6800000071525574
1925000,0.0056512849405407906,1924899,64.82754702687264,-123.44729614257812,0.6099866032600403,0.0003,50.0,0.19158504903316498,0.87,,,,,,
1925000,,,,,,,,,,38500,50.0,123,15600,63.0649684,0.6800000071525574
1950000,0.005377874709665775,1949899,65.38591238707303,-123.55817413330078,-0.27121204137802124,0.0003,50.0,0.1812899112701416,0.82,,,,,,
1950000,,,,,,,,,,39000,50.0,123,15796,62.863880210000005,0.75
1975000,0.005236465483903885,1974899,65.01834855169058,-123.73430633544922,3.1525487899780273,0.0003,50.0,0.16165228188037872,0.86,,,,,,
1975000,,,,,,,,,,39500,50.0,123,15991,64.14036205999999,0.7099999785423279
2000000,0.005274245049804449,1999899,64.48611653842032,-123.8091812133789,-0.3640511631965637,0.0003,50.0,0.2511642575263977,0.86,,,,,,
2000000,,,,,,,,,,40000,50.0,123,16186,63.89613235000001,0.7799999713897705
2025000,0.005062101874500513,2024899,64.08242839436978,-124.19031524658203,-0.8941378593444824,0.0003,50.0,0.16999830305576324,0.82,,,,,,
2025000,,,,,,,,,,40500,50.0,123,16381,63.16344916,0.6800000071525574
2050000,0.005021482240408659,2049899,64.3731656768918,-124.02124786376953,-1.1397597789764404,0.0003,50.0,0.18837584555149078,0.84,,,,,,
2050000,,,,,,,,,,41000,50.0,123,16575,63.90737440000001,0.6899999976158142
2075000,0.005185707937926054,2074899,65.42906370222569,-124.89472961425781,0.7066911458969116,0.0003,50.0,0.15929043292999268,0.81,,,,,,
2075000,,,,,,,,,,41500,50.0,123,16770,63.96511659,0.7599999904632568
2100000,0.004998917691409588,2099899,64.29020425369963,-124.68681335449219,-2.819164514541626,0.0003,50.0,0.15944236516952515,0.81,,,,,,
2100000,,,,,,,,,,42000,50.0,123,16967,63.18913447,0.6899999976158142
2125000,0.004758080933243036,2124899,64.63619154196232,-125.33074951171875,0.21428576111793518,0.0003,50.0,0.15151047706604004,0.78,,,,,,
2125000,,,,,,,,,,42500,50.0,123,17163,64.90964405000001,0.7599999904632568
2150000,0.004647636320441961,2149899,64.82776913992129,-125.36040496826172,1.759016990661621,0.0003,50.0,0.17009466886520386,0.87,,,,,,
2150000,,,,,,,,,,43000,50.0,123,17357,65.17967931999999,0.7699999809265137
2175000,0.004562052432447672,2174899,64.32669399306178,-125.63465881347656,-1.669837474822998,0.0003,50.0,0.12548358738422394,0.88,,,,,,
2175000,,,,,,,,,,43500,50.0,123,17550,64.12024557,0.6800000071525574
