train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/success_rate,train/ent_coef,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate
,,,,,,,775000,,,15500,50.0,77,48.95333608,10038,0.0
-99.50283813476562,0.0003,0.005011804401874542,799899,0.0,0.0009001883445307612,50.0,800000,49.19912754297256,-0.04431259632110596,,,,,,
,,,,,,,800000,,,16000,50.0,77,48.96656279999999,10360,0.0
-99.61357879638672,0.0003,0.006864848546683788,824899,0.0,0.0009121550829149783,50.0,825000,48.79851342260837,-2.7543182373046875,,,,,,
,,,,,,,825000,,,16500,50.0,77,48.96127443,10683,0.0
-99.71089935302734,0.0003,0.0030735377222299576,849899,0.0,0.0009005820611491799,50.0,850000,48.81137564599514,-2.9559311866760254,,,,,,
,,,,,,,850000,,,17000,50.0,77,48.95007447,11006,0.0
-99.63758087158203,0.0003,0.00725467037409544,874899,0.0,0.0008849826408550143,50.0,875000,48.865258124470714,2.4419360160827637,,,,,,
,,,,,,,875000,,,17500,50.0,77,48.98130904,11325,0.0
-99.64513397216797,0.0003,0.0048267291858792305,899899,0.0,0.0008682165644131601,50.0,900000,48.83490720033646,0.43928003311157227,,,,,,
,,,,,,,900000,,,18000,50.0,77,48.96356346,11644,0.0
-99.65418243408203,0.0003,0.00447030458599329,924899,0.0,0.0008615088881924748,50.0,925000,49.082336010336874,-1.2726283073425293,,,,,,
,,,,,,,925000,,,18500,50.0,77,48.90363324999999,11963,0.0
-99.78298950195312,0.0003,0.005782010965049267,949899,0.0,0.0008847729186527431,50.0,950000,48.758975155353546,2.1250410079956055,,,,,,
,,,,,,,950000,,,19000,50.0,77,48.91457887999999,12284,0.0
-100.0087661743164,0.0003,0.004289159085601568,974899,0.0,0.0009027566993609071,50.0,975000,49.047223525643346,-2.364652156829834,,,,,,
,,,,,,,975000,,,19500,50.0,77,49.035702390000004,12602,0.0
-99.87060546875,0.0003,0.004679354839026928,999899,0.0,0.0008699845056980848,50.0,1000000,48.8492438107729,-3.7938756942749023,,,,,,
,,,,,,,1000000,,,20000,50.0,77,48.99254277,12922,0.0
-99.93705749511719,0.0003,0.004155149217694998,1024899,0.0,0.0008559940033592284,50.0,1025000,48.9304223549366,-0.3176203966140747,,,,,,
,,,,,,,1025000,,,20500,50.0,77,48.8330353,13243,0.0
-99.857177734375,0.0003,0.003691224381327629,1049899,0.0,0.0007354147383011878,50.0,1050000,48.82697941660881,1.0296423435211182,,,,,,
,,,,,,,1050000,,,21000,50.0,77,48.86822571,13562,0.0
-99.87753295898438,0.0003,0.0023771580308675766,1074899,0.0,0.0006978468736633658,50.0,1075000,49.08642818570137,0.48589199781417847,,,,,,
